station_id,time,AtmosphericPressure,WindDirection,WindSpeed,Gust,AirTemperature,SeaTemperature
M1,2001-02-06T13:00:00Z,967.6,270,21.98,33.1,8.9,9
M1,2001-02-06T14:00:00Z,969.8,270,23.93,35,8.5,9
M1,2001-02-06T15:00:00Z,972,270,19.07,31.1,8.9,9
M1,2001-02-06T16:00:00Z,973.6,270,15.95,25.3,9.1,9
M1,2001-02-06T18:00:00Z,976.4,270,12.06,19.5,8.8,9
M1,2001-02-06T20:00:00Z,978.8,260,11.09,17.5,8.8,9
M1,2001-02-06T21:00:00Z,979.8,280,9.92,17.5,8.2,9
M1,2001-02-06T22:00:00Z,980.6,300,7.98,13.6,8.2,9
M1,2001-02-06T23:00:00Z,981.6,320,11.09,17.5,8,9
M1,2001-02-07T00:00:00Z,982.2,340,7,13.6,8,9
M1,2001-02-07T01:00:00Z,983,330,7.98,15.6,8,9
M1,2001-02-07T03:00:00Z,984.2,350,7,13.6,8.3,9
M1,2001-02-07T05:00:00Z,985,30,12.06,19.5,7.7,9
M1,2001-02-07T06:00:00Z,986.8,10,19.07,29.2,7,9
M1,2001-02-07T07:00:00Z,987.4,40,16.93,31.1,7.3,9
M1,2001-02-07T08:00:00Z,988.4,30,21.01,29.2,7.1,9
M1,2001-02-07T09:00:00Z,990,30,21.01,31.1,7.3,9
M1,2001-02-07T10:00:00Z,990.8,30,21.01,31.1,7.4,9.1
M1,2001-02-07T13:00:00Z,994.2,30,18.09,27.2,7,9
M1,2001-02-07T14:00:00Z,994.4,40,16.93,27.2,6.9,9.1
M1,2001-02-07T15:00:00Z,994.6,30,16.93,25.3,7,9
M1,2001-02-07T16:00:00Z,995,20,15.95,25.3,7.1,9.1
M1,2001-02-07T17:00:00Z,995.8,30,16.93,25.3,7,9
M1,2001-02-07T19:00:00Z,997.2,30,15.95,25.3,6.9,9
M1,2001-02-07T20:00:00Z,997.8,30,14.98,25.3,6.8,9.1
M1,2001-02-07T21:00:00Z,998.6,20,15.95,25.3,6.6,9.1
M1,2001-02-07T22:00:00Z,999.4,30,16.93,23.3,6.6,9.1
M1,2001-02-07T23:00:00Z,1000,40,15.95,25.3,6.5,9.1
M1,2001-02-08T00:00:00Z,1000.6,40,14.01,21.4,6.4,9
M1,2001-02-08T01:00:00Z,1001.2,30,14.01,19.5,6.2,9
M1,2001-02-08T02:00:00Z,1001.4,30,13.04,19.5,6.4,9
M1,2001-02-08T03:00:00Z,1002.2,40,12.06,17.5,6.4,9
M1,2001-02-08T05:00:00Z,1002.6,20,12.06,17.5,6.3,9
M1,2001-02-08T06:00:00Z,1003.4,20,7.98,13.6,6.4,9.1
M1,2001-02-08T07:00:00Z,1004.4,350,15.95,21.4,5.4,9.1
M1,2001-02-08T08:00:00Z,1005,350,6.03,19.5,5.8,9.1
M1,2001-02-08T09:00:00Z,1005.8,350,6.03,11.7,6.2,9.1
M1,2001-02-08T10:00:00Z,1006.4,340,6.03,11.7,6.3,9.1
M1,2001-02-08T11:00:00Z,1007.6,350,12.06,19.5,4.7,9.1
M1,2001-02-08T12:00:00Z,1008.2,NaN,NaN,15.6,6.2,9
M1,2001-02-08T13:00:00Z,1008.8,150,4.09,19.5,4.2,9
M1,2001-02-08T14:00:00Z,1009,240,5.06,7.8,5.6,9
M1,2001-02-08T15:00:00Z,1009.2,300,7,11.7,5.9,9
M1,2001-02-08T16:00:00Z,1009.6,250,8.95,11.7,5.5,9
M1,2001-02-08T17:00:00Z,1010,270,7,15.6,6,9
M1,2001-02-08T19:00:00Z,1011.8,350,7,15.6,6.1,9
M1,2001-02-08T20:00:00Z,1012.6,330,6.03,11.7,6.4,9
M1,2001-02-08T21:00:00Z,1013.2,290,7,13.6,6.8,9
M1,2001-02-08T22:00:00Z,1013.6,280,7,11.7,6.7,9
M1,2001-02-08T23:00:00Z,1014.2,260,4.09,9.7,6.4,9
M1,2001-02-09T00:00:00Z,1014.6,240,2.92,5.8,6.6,9
M1,2001-02-09T01:00:00Z,1014.6,200,2.92,5.8,6.9,9.1
M1,2001-02-09T11:00:00Z,1013.2,150,21.98,29.2,7.7,9
M1,2001-02-09T12:00:00Z,1013.2,160,23.93,33.1,7.7,9.1
M1,2001-02-09T13:00:00Z,1012,150,25.1,37,7.7,9.1
M1,2001-02-09T14:00:00Z,1010.4,150,28.99,38.9,7.9,9.1
M1,2001-02-09T15:00:00Z,1009,150,30.93,40.9,8.2,9.1
M1,2001-02-09T16:00:00Z,1006.4,150,31.91,42.8,8.3,9.1
M1,2001-02-09T17:00:00Z,1006.6,150,34.05,44.7,8.1,9
M1,2001-02-09T18:00:00Z,1004.4,150,35.02,50.6,7.9,9
M1,2001-02-09T19:00:00Z,1003.6,150,37.94,48.6,7.9,9
M1,2001-02-09T20:00:00Z,1003.8,160,38.91,50.6,7.9,9
M1,2001-02-09T21:00:00Z,1004.4,170,29.96,48.6,9,9
M1,2001-02-09T23:00:00Z,1005.4,190,13.04,23.3,10.2,9
M1,2001-02-10T00:00:00Z,1006,180,12.06,15.6,10.1,8.9
M1,2001-02-10T02:00:00Z,1006,180,13.04,19.5,10,9
M1,2001-02-10T03:00:00Z,1005.8,170,14.98,21.4,9.9,9
M1,2001-02-10T04:00:00Z,1004.4,170,12.06,19.5,10,9
M1,2001-02-10T05:00:00Z,1003.8,170,15.95,23.3,10,9
M1,2001-02-10T06:00:00Z,1002.8,180,20.04,27.2,10.2,9
M1,2001-02-10T07:00:00Z,1001.6,170,20.04,27.2,10.2,8.9
M1,2001-02-10T08:00:00Z,1000.4,180,21.98,31.1,10.4,9
M1,2001-02-10T10:00:00Z,1000.6,200,23.93,31.1,11.3,9.2
M1,2001-02-10T11:00:00Z,1001.6,220,22.96,35,11.4,9.1
M1,2001-02-10T12:00:00Z,1002.8,220,21.01,29.2,11.1,9.1
M1,2001-02-10T13:00:00Z,1003.8,220,21.01,29.2,11.1,9.1
M1,2001-02-10T14:00:00Z,1004.4,220,18.09,29.2,10.9,9.1
